a_code,h_code,name
601038,00038,一拖股份
601107,00107,四川成渝
600600,00168,青岛啤酒
600377,00177,宁沪高速
600860,00187,京城股份
000333,00300,美的集团
600685,00317,中船防务
600808,00323,马钢股份
600688,00338,上海石化
000898,00347,鞍钢股份
600362,00358,江西铜业
600028,00386,中国石化
601390,00390,中国中铁
300450,00470,先导智能
603501,00501,豪威集团
601333,00525,广深铁路
600548,00548,深高速
600775,00553,南京熊猫
601717,00564,中创智领
002490,00568,山东墨龙
601588,00588,北辰实业
601598,00598,中国外运
300638,00638,广和通
600115,00670,中国东航
600699,00699,均胜电子
000756,00719,新华制药
601728,00728,中国电信
601111,00753,中国国航
000063,00763,中兴通讯
601811,00811,新华文轩
601857,00857,中国石油
600332,00874,白云山
600938,00883,中国海油
002672,00895,东江环保
600011,00902,华能国际
600585,00914,海螺水泥
001289,00916,龙源电力
000921,00921,海信家电
601939,00939,建设银行
600941,00941,中国移动
600956,00956,新天绿能
688981,00981,中芯国际
601991,00991,大唐发电
600012,00995,皖通高速
601998,00998,中信银行
600871,01033,石化油服
601005,01053,重庆钢铁
600029,01055,南方航空
002703,01057,浙江世宝
600874,01065,创业环保
600027,01071,华电国际
600875,01072,东方电气
601088,01088,中国神华
600876,01108,凯盛新能
600026,01138,中远海能
000157,01157,中联重科
600188,01171,兖矿能源
601186,01186,中国铁建
301087,01187,可孚医疗
002594,01211,比亚迪
600276,01276,恒瑞医药
601288,01288,农业银行
688279,01304,峰岹科技
601330,01330,绿色动力
601336,01336,新华保险
601319,01339,中国人保
688347,01347,华虹公司
688505,01349,复旦张江
601375,01375,中原证券
688385,01385,复旦微电
601398,01398,工商银行
601456,01456,国联民生
000513,01513,丽珠集团
601828,01528,美凯龙
601618,01618,中国中冶
600635,01635,大众公用
601658,01658,邮储银行
601766,01766,中国中车
002460,01772,赣锋锂业
000776,01776,广发证券
600547,01787,山东黄金
601800,01800,中国交建
000488,01812,ST晨鸣
003816,01816,中国广核
688236,01858,春立医疗
688180,01877,君实生物-U
601888,01880,中国中免
601898,01898,中煤能源
601919,01919,中远海控
601963,01963,重庆银行
600016,01988,民生银行
001389,01989,广合科技
601992,02009,金隅集团
601916,02016,浙商银行
000039,02039,中集集团
002050,02050,三花智控
601068,02068,中铝国际
600196,02196,复星医药
000002,02202,万  科A
002202,02208,金风科技
605198,02218,安德利
601238,02238,广汽集团
688796,02315,百奥赛图
601318,02318,中国平安
601633,02333,长城汽车
000338,02338,潍柴动力
603259,02359,药明康德
688339,02402,亿华通-U
603906,02465,龙蟠科技
300476,02476,胜宏科技
688062,02493,迈威生物-U
300919,02579,中伟新材
601600,02600,中国铝业
601601,02601,中国太保
002803,02603,吉宏股份
601607,02607,上海医药
601211,02611,国泰海通
688506,02615,百利天恒
601628,02628,中国人寿
688234,02631,天岳先进
603345,02648,安井食品
688052,02676,纳芯微
603093,02691,南华期货
003021,02692,兆威机电
300077,02701,国民技术
002714,02714,牧原股份
002747,02715,埃斯顿
601727,02727,上海电气
002768,02768,国恩股份
002865,02865,钧达股份
601866,02866,中远海发
601880,02880,辽港股份
601808,02883,中海油服
601899,02899,紫金矿业
301200,03200,大族数控
002881,03268,美格智能
603288,03288,海天味业
603296,03296,华勤技术
601328,03328,交通银行
300347,03347,泰格医药
601326,03369,秦港股份
600660,03606,福耀玻璃
601077,03618,渝农商行
001236,03678,弘业期货
300750,03750,宁德时代
300759,03759,康龙化成
002948,03866,青岛银行
688187,03898,时代电气
601995,03908,中金公司
600958,03958,东方证券
600036,03968,招商银行
688009,03969,中国通号
603986,03986,兆易创新
601988,03988,中国银行
603993,03993,洛阳钼业
601868,03996,中国能建
600030,06030,中信证券
600031,06031,三一重工
601066,06066,中信建投
600999,06099,招商证券
603127,06127,昭衍新药
688235,06160,百济神州
603083,06166,剑桥科技
601788,06178,光大证券
688185,06185,康希诺
002936,06196,郑州银行
601298,06198,青岛港
300433,06613,蓝思科技
600801,06655,华新建材
300748,06680,金力永磁
600690,06690,海尔智家
600988,06693,赤峰黄金
000166,06806,申万宏源
688008,06809,澜起科技
601818,06818,光大银行
002821,06821,凯莱英
688366,06826,昊海生科
601865,06865,福莱特
601869,06869,长飞光纤
601881,06881,中国银河
601688,06886,华泰证券
002352,06936,顺丰控股
603341,09611,龙旗科技
002466,09696,天齐锂业
601127,09927,赛力斯
688428,09969,诺诚健华
605499,09980,东鹏饮料
002130,09981,沃尔核材
002399,09989,海普瑞
688331,09995,荣昌生物
