a_code,h_code,name
601038,00038,PAIR_601038_00038
601107,00107,PAIR_601107_00107
600600,00168,PAIR_600600_00168
600377,00177,PAIR_600377_00177
600860,00187,PAIR_600860_00187
000333,00300,PAIR_000333_00300
600685,00317,PAIR_600685_00317
600808,00323,PAIR_600808_00323
600688,00338,PAIR_600688_00338
000898,00347,PAIR_000898_00347
600362,00358,PAIR_600362_00358
600028,00386,PAIR_600028_00386
601390,00390,PAIR_601390_00390
300450,00470,PAIR_300450_00470
603501,00501,PAIR_603501_00501
601333,00525,PAIR_601333_00525
600548,00548,PAIR_600548_00548
600775,00553,PAIR_600775_00553
601717,00564,PAIR_601717_00564
002490,00568,PAIR_002490_00568
601588,00588,PAIR_601588_00588
601598,00598,PAIR_601598_00598
300638,00638,PAIR_300638_00638
600115,00670,PAIR_600115_00670
600699,00699,PAIR_600699_00699
000756,00719,PAIR_000756_00719
601728,00728,PAIR_601728_00728
601111,00753,PAIR_601111_00753
000063,00763,PAIR_000063_00763
601811,00811,PAIR_601811_00811
601857,00857,PAIR_601857_00857
600332,00874,PAIR_600332_00874
600938,00883,PAIR_600938_00883
002672,00895,PAIR_002672_00895
600011,00902,PAIR_600011_00902
600585,00914,PAIR_600585_00914
001289,00916,PAIR_001289_00916
000921,00921,PAIR_000921_00921
601939,00939,PAIR_601939_00939
600941,00941,PAIR_600941_00941
600956,00956,PAIR_600956_00956
688981,00981,PAIR_688981_00981
601991,00991,PAIR_601991_00991
600012,00995,PAIR_600012_00995
601998,00998,PAIR_601998_00998
600871,01033,PAIR_600871_01033
601005,01053,PAIR_601005_01053
600029,01055,PAIR_600029_01055
002703,01057,PAIR_002703_01057
600874,01065,PAIR_600874_01065
600027,01071,PAIR_600027_01071
600875,01072,PAIR_600875_01072
601088,01088,PAIR_601088_01088
600876,01108,PAIR_600876_01108
600026,01138,PAIR_600026_01138
000157,01157,PAIR_000157_01157
600188,01171,PAIR_600188_01171
601186,01186,PAIR_601186_01186
002594,01211,PAIR_002594_01211
600276,01276,PAIR_600276_01276
601288,01288,PAIR_601288_01288
688279,01304,PAIR_688279_01304
601330,01330,PAIR_601330_01330
601336,01336,PAIR_601336_01336
601319,01339,PAIR_601319_01339
688347,01347,PAIR_688347_01347
688505,01349,PAIR_688505_01349
601375,01375,PAIR_601375_01375
688385,01385,PAIR_688385_01385
601398,01398,PAIR_601398_01398
