row,W,AA,AE,BZ,CA,O,a_not,h_not,a_over_h_not,implied_hedge,h_over_a_px
5,42.6,10445.41,237.99314124953125,27044.817987178492,-113.76560352418942,1.0,1152109.2462538038,1188328.3727076033,0.9695209444749062,237.72403212740912,245.19741784037558
6,42.55,10452.85,237.9895630127383,27044.817987178492,-113.76560352418942,1.0,1150757.0053544447,1189174.7887978235,0.9676937454398805,237.72403212740912,245.66039952996476
7,42.45,10425.22,237.98330174602327,27044.817987178492,-113.76560352418942,1.0,1148052.523555727,1186031.4451724498,0.9679781495074942,237.72403212740912,245.58822143698467
8,42.6,10424.92,237.98117782573158,27044.817987178492,-113.76560352418942,1.0,1152109.2462538038,1185997.3154913927,0.971426521127033,237.72403212740912,244.7164319248826
9,42.55,10395.8,237.97891466005078,27044.817987178492,-113.76560352418942,1.0,1150757.0053544447,1182684.4611167682,0.9730042485447256,237.72403212740912,244.31962397179788
10,42.5,10400.16,237.97620832658097,27044.817987178492,-113.76560352418942,1.0,1149404.7644550859,1183180.479148134,0.9714534550828916,237.72403212740912,244.70964705882352
11,42.25,10372.25,237.97154934941315,27044.817987178492,-113.76560352418942,1.0,1142643.5599582912,1180005.2811537737,0.9683376661170946,237.72403212740912,245.49704142011834
12,42.25,10398.77,237.96954708613038,27044.817987178492,-113.76560352418942,1.0,1142643.5599582912,1183022.3449592353,0.965868112996348,237.72403212740912,246.12473372781065
13,42.15,10389.36,237.96682066940778,27044.817987178492,-113.76560352418942,1.0,1139939.0781595735,1181951.8106300726,0.9644547839491839,237.72403212740912,246.48540925266906
14,42.0,10362.78,237.96311849100903,27044.817987178492,-113.76560352418942,1.0,1135882.3554614966,1178927.9208883997,0.9634875341704814,237.72403212740912,246.73285714285717
15,41.95,10358.96,237.95852399116382,27044.817987178492,-113.76560352418942,1.0,1134530.1145621378,1178493.336282937,0.9626954006719606,237.72403212740912,246.93587604290818
16,42.05,10365.98,237.95432668118391,27044.817987178492,-113.76560352418942,1.0,1137234.5963608555,1179291.970819677,0.9643367584114143,237.72403212740912,246.5155766944114
17,42.3,10403.92,237.95294313969484,27044.817987178492,-113.76560352418942,1.0,1143995.80085765,1183608.2378173848,0.9665324761233655,237.72403212740912,245.95555555555558
18,42.15,10389.05,237.94975119264853,27044.817987178492,-113.76560352418942,1.0,1139939.0781595735,1181916.54329298,0.964483562421039,237.72403212740912,246.47805456702253
19,42.35,10420.96,237.94812739752817,27044.817987178492,-113.76560352418942,1.0,1145348.0417570092,1185546.8037014368,0.9660926402745791,237.72403212740912,246.06753246753243
20,41.85,10384.95,237.94180232613118,27044.817987178492,-113.76560352418942,1.0,1131825.63276342,1181450.104318531,0.957996980681859,237.72403212740912,248.14695340501794
21,40.45,10266.11,237.92350884220062,27044.817987178492,-113.76560352418942,1.0,1093962.88758137,1167930.1999957163,0.936668036827357,237.72403212740912,253.7975278121137
22,40.5,10266.74,237.90576187634863,27044.817987178492,-113.76560352418942,1.0,1095315.128480729,1168001.8723259363,0.9377682985212512,237.72403212740912,253.49975308641976
23,40.95,10284.31,237.89251859951082,27044.817987178492,-113.76560352418942,1.0,1107485.2965749593,1170000.7339798564,0.9465680357376823,237.72403212740912,251.1431013431013
24,41.05,10276.58,237.87963154311768,27044.817987178492,-113.76560352418942,1.0,1110189.778373677,1169121.3258646145,0.9495933003810746,237.72403212740912,250.34299634591963
25,41.2,10311.31,237.86587047712845,27044.817987178492,-113.76560352418942,1.0,1114246.501071754,1173072.4052750096,0.9498531344367743,237.72403212740912,250.27451456310678
26,41.25,10314.58,237.85262008591067,27044.817987178492,-113.76560352418942,1.0,1115598.7419711128,1173444.4187985337,0.9507043743182587,237.72403212740912,250.05042424242424
27,41.4,10317.38,237.8402584745328,27044.817987178492,-113.76560352418942,1.0,1119655.4646691896,1173762.9624884012,0.9539025343715885,237.72403212740912,249.21207729468597
28,41.15,10298.13,237.8232357631459,27044.817987178492,-113.76560352418942,1.0,1112894.260172395,1171572.9746205606,0.9499145885750993,237.72403212740912,250.2583232077764
29,40.95,10282.65,237.80589218764027,27044.817987178492,-113.76560352418942,1.0,1107485.2965749593,1169811.8830780063,0.9467208468261978,237.72403212740912,251.1025641025641
30,40.9,10231.72,237.79009846129057,27044.817987178492,-113.76560352418942,1.0,1106133.0556756002,1164017.8008905193,0.9502715979337816,237.72403212740912,250.1643031784841
31,41.1,10238.04,237.77645497103282,27044.817987178492,-113.76560352418942,1.0,1111542.0192730362,1164736.7995047923,0.9543289262824246,237.72403212740912,249.1007299270073
32,41.4,10254.71,237.7637769247842,27044.817987178492,-113.76560352418942,1.0,1119655.4646691896,1166633.2721155405,0.9597321552803285,237.72403212740912,247.69830917874395
33,41.6,10273.57,237.75131288198165,27044.817987178492,-113.76560352418942,1.0,1125064.4282666254,1168778.8913980066,0.9625981753665201,237.72403212740912,246.96081730769228
34,41.8,10276.53,237.74145873395875,27044.817987178492,-113.76560352418942,1.0,1130473.391864061,1169115.6375844383,0.96694745628395,237.72403212740912,245.85000000000002
35,42.2,10341.78,237.73386292640149,27044.817987178492,-113.76560352418942,1.0,1141291.3190589324,1176538.8432143917,0.9700413425712656,237.72403212740912,245.0658767772512
36,42.0,10294.58,237.72403212740912,27044.817987178492,-113.76560352418942,1.0,1135882.3554614966,1171169.10672805,0.9698704900395336,237.72403212740912,245.10904761904763
69,47.15,11003.83,238.01023448900773,-23776.46891505074,99.88140478220181,1.0,1121060.5093446423,1099077.9983845358,1.0200008652638095,238.04700151041072,233.37921527041357
70,47.15,11021.11,238.02805240420014,-23776.46891505074,99.88140478220181,1.0,1121060.5093446423,1100803.9490591723,1.0184016057562137,238.04700151041072,233.74570519618243
71,47.25,11043.27,238.04700151041072,-23776.46891505074,99.88140478220181,1.0,1123438.1562361475,1103017.320989146,1.0185136124867822,238.04700151041072,233.72
107,47.8,11319.89,238.40202489414787,-23581.152622073958,98.77073546056057,1.0,1127179.0953351352,1118073.860632645,1.0081436790744203,238.74635044597775,236.81778242677825
108,47.85,11332.89,238.41049529648083,-23581.152622073958,98.77073546056057,1.0,1128358.152966239,1119357.8801936323,1.0080405676610324,238.74635044597775,236.84200626959245
109,47.95,11336.06,238.42030632112815,-23581.152622073958,98.77073546056057,1.0,1130716.2682284464,1119670.9834250421,1.0098647593506593,238.74635044597775,236.41418143899892
110,47.95,11322.1,238.43134524562078,-23581.152622073958,98.77073546056057,1.0,1130716.2682284464,1118292.1439580128,1.0111099092822564,238.74635044597775,236.1230448383733
111,48.05,11331.48,238.44597251219636,-23581.152622073958,98.77073546056057,1.0,1133074.3834906537,1119218.613456633,1.0123798602591394,238.74635044597775,235.82684703433924
112,48.05,11339.87,238.45944128763125,-23581.152622073958,98.77073546056057,1.0,1133074.3834906537,1120047.299927147,1.011630833416012,238.74635044597775,236.00145681581688
113,48.1,11364.64,238.47216377798853,-23581.152622073958,98.77073546056057,1.0,1134253.4411217575,1122493.8510445051,1.0104763069003093,238.74635044597775,236.27110187110185
114,48.1,11396.26,238.48185489998338,-23581.152622073958,98.77073546056057,1.0,1134253.4411217575,1125616.981699768,1.007672644924873,238.74635044597775,236.92848232848232
115,47.9,11322.58,238.49172230483012,-23581.152622073958,98.77073546056057,1.0,1129537.2105973426,1118339.553911034,1.0100127520726137,238.74635044597775,236.37954070981212
116,47.9,11328.7,238.496192858542,-23581.152622073958,98.77073546056057,1.0,1129537.2105973426,1118944.0308120525,1.0094671221201317,238.74635044597775,236.50730688935283
117,47.7,11292.36,238.50047521720074,-23581.152622073958,98.77073546056057,1.0,1124820.980072928,1115354.702285416,1.008487235287676,238.74635044597775,236.737106918239
118,47.65,11284.52,238.50429114421482,-23581.152622073958,98.77073546056057,1.0,1123641.922441824,1114580.339719405,1.0081300399796218,238.74635044597775,236.82098635886675
119,47.6,11283.14,238.50975342686155,-23581.152622073958,98.77073546056057,1.0,1122462.8648107203,1114444.0361044693,1.0071953623927863,238.74635044597775,237.04075630252098
120,47.75,11292.22,238.5164344097207,-23581.152622073958,98.77073546056057,1.0,1126000.0377040314,1115340.8743824512,1.0095568660365668,238.74635044597775,236.48628272251307
121,47.75,11297.05,238.5221938057787,-23581.152622073958,98.77073546056057,1.0,1126000.0377040314,1115817.9370347257,1.0091252347998318,238.74635044597775,236.5874345549738
122,47.75,11288.99,238.52911895437478,-23581.152622073958,98.77073546056057,1.0,1126000.0377040314,1115021.8449069136,1.0098457199267108,238.74635044597775,236.4186387434555
123,47.75,11287.62,238.53620006380245,-23581.152622073958,98.77073546056057,1.0,1126000.0377040314,1114886.5289993328,1.009968286830655,238.74635044597775,236.38994764397907
124,47.75,11295.84,238.5435082908868,-23581.152622073958,98.77073546056057,1.0,1126000.0377040314,1115698.4244448186,1.009233331367604,238.74635044597775,236.5620942408377
125,47.75,11288.36,238.55028555414793,-23581.152622073958,98.77073546056057,1.0,1126000.0377040314,1114959.6193435737,1.0099020791147197,238.74635044597775,236.40544502617803
126,47.75,11290.7,238.55699245419066,-23581.152622073958,98.77073546056057,1.0,1126000.0377040314,1115190.7428645513,1.009692776691918,238.74635044597775,236.45445026178012
127,47.75,11328.59,238.56123731676652,-23581.152622073958,98.77073546056057,1.0,1126000.0377040314,1118933.166031152,1.0063157227682735,238.74635044597775,237.24795811518325
128,47.75,11322.6,238.5656396754891,-23581.152622073958,98.77073546056057,1.0,1126000.0377040314,1118341.5293257432,1.006848094412541,238.74635044597775,237.12251308900525
129,47.85,11346.83,238.56847145720744,-23581.152622073958,98.77073546056057,1.0,1128358.152966239,1120734.7442459525,1.0068021525694875,238.74635044597775,237.13333333333333
130,47.85,11353.06,238.5712099249268,-23581.152622073958,98.77073546056057,1.0,1128358.152966239,1121350.0859278718,1.0062496691499947,238.74635044597775,237.2635318704284
131,47.9,11343.23,238.57491315544632,-23581.152622073958,98.77073546056057,1.0,1129537.2105973426,1120379.1695982944,1.008174055040966,238.74635044597775,236.81064718162838
132,47.85,11311.06,238.5869279595906,-23581.152622073958,98.77073546056057,1.0,1128358.152966239,1117201.7150385282,1.009986055138956,238.74635044597775,236.38578892371993
133,47.8,11279.38,238.6004648858102,-23581.152622073958,98.77073546056057,1.0,1127179.0953351352,1114072.6581391376,1.0117644366372744,238.74635044597775,235.97029288702927
134,47.85,11285.01,238.61319141614797,-23581.152622073958,98.77073546056057,1.0,1128358.152966239,1114628.7373797807,1.0123174785702482,238.74635044597775,235.84137931034482
135,48.0,11298.76,238.62741340793508,-23581.152622073958,98.77073546056057,1.0,1131895.32585955,1115986.8349923634,1.0142550882934882,238.74635044597775,235.39083333333335
136,47.95,11280.62,238.6417136603514,-23581.152622073958,98.77073546056057,1.0,1130716.2682284464,1114195.1338511088,1.0148278644156645,238.74635044597775,235.2579770594369
137,47.85,11286.21,238.6542794219818,-23581.152622073958,98.77073546056057,1.0,1128358.152966239,1114747.2622623332,1.0122098444774676,238.74635044597775,235.86645768025076
138,47.75,11269.08,238.66566316571982,-23581.152622073958,98.77073546056057,1.0,1126000.0377040314,1113055.3195638938,1.011629896477391,238.74635044597775,236.00167539267017
139,47.75,11262.13,238.67659680690608,-23581.152622073958,98.77073546056057,1.0,1126000.0377040314,1112368.862952443,1.0122541858241236,238.74635044597775,235.85612565445024
140,47.75,11264.29,238.68786215607807,-23581.152622073958,98.77073546056057,1.0,1126000.0377040314,1112582.207741038,1.012060079578512,238.74635044597775,235.90136125654453
141,47.75,11285.44,238.69779325191374,-23581.152622073958,98.77073546056057,1.0,1126000.0377040314,1114671.2087960287,1.0101633816488713,238.74635044597775,236.34429319371728
142,47.8,11292.7,238.70718412452374,-23581.152622073958,98.77073546056057,1.0,1127179.0953351352,1115388.2843354724,1.010571037158318,238.74635044597775,236.24895397489541
143,47.8,11304.67,238.71761725014127,-23581.152622073958,98.77073546056057,1.0,1127179.0953351352,1116570.5700389354,1.009500989530675,238.74635044597775,236.49937238493726
144,47.9,11300.16,238.73060453778166,-23581.152622073958,98.77073546056057,1.0,1129537.2105973426,1116125.1140220081,1.0120166605041288,238.74635044597775,235.9114822546973
145,47.8,11293.67,238.74164502737213,-23581.152622073958,98.77073546056057,1.0,1127179.0953351352,1115484.0919488692,1.0104842404034948,238.74635044597775,236.2692468619247
146,47.85,11327.18,238.75163488863885,-23581.152622073958,98.77073546056057,1.0,1128358.152966239,1118793.8992941526,1.008548718113426,238.74635044597775,236.7226750261233
147,48.05,11361.37,238.76216952954206,-23581.152622073958,98.77073546056057,1.0,1133074.3834906537,1122170.8707395492,1.0097164460737773,238.74635044597775,236.4489073881374
148,48.3,11395.34,238.76450727920124,-23581.152622073958,98.77073546056057,1.0,1138969.6716461722,1125526.1126231444,1.0119442444491105,238.74635044597775,235.92836438923396
149,48.4,11352.57,238.77179197929456,-23581.152622073958,98.77073546056057,1.0,1141327.7869083795,1121301.6882674962,1.0178596882983608,238.74635044597775,234.55723140495869
150,48.35,11354.67,238.7783658291724,-23581.152622073958,98.77073546056057,1.0,1140148.729277276,1121509.1068119633,1.0166201258216248,238.74635044597775,234.84322647362978
151,48.35,11345.49,238.78519318968893,-23581.152622073958,98.77073546056057,1.0,1140148.729277276,1120602.3914604355,1.017442705785561,238.74635044597775,234.653360910031
152,48.4,11346.15,238.79182119070236,-23581.152622073958,98.77073546056057,1.0,1141327.7869083795,1120667.5801458394,1.0184356245585793,238.74635044597775,234.4245867768595
153,48.4,11350.96,238.7971928095638,-23581.152622073958,98.77073546056057,1.0,1141327.7869083795,1121142.6673834044,1.0180040597081943,238.74635044597775,234.52396694214875
154,48.55,11378.33,238.80256440627778,-23581.152622073958,98.77073546056057,1.0,1144864.9598016907,1123846.0224129602,1.018702684326454,238.74635044597775,234.3631307929969
155,48.5,11380.04,238.80702767644877,-23581.152622073958,98.77073546056057,1.0,1143685.9021705869,1124014.9203705979,1.0175006411778797,238.74635044597775,234.64000000000001
156,48.5,11375.23,238.81160445419255,-23581.152622073958,98.77073546056057,1.0,1143685.9021705869,1123539.8331330323,1.0179308898923294,238.74635044597775,234.54082474226803
157,48.5,11365.53,238.81630245539947,-23581.152622073958,98.77073546056057,1.0,1143685.9021705869,1122581.7569990652,1.018799650929602,238.74635044597775,234.34082474226807
158,48.65,11396.11,238.82232246527877,-23581.152622073958,98.77073546056057,1.0,1147223.075063898,1125602.166089449,1.0192083043421674,238.74635044597775,234.246865364851
159,48.65,11411.65,238.8263494384147,-23581.152622073958,98.77073546056057,1.0,1147223.075063898,1127137.063318506,1.0178203808561266,238.74635044597775,234.56628982528264
160,48.6,11424.8,238.82838725731827,-23581.152622073958,98.77073546056057,1.0,1146044.0174327944,1128435.8984898124,1.0156040045930363,238.74635044597775,235.0781893004115
161,48.6,11428.15,238.82962706553562,-23581.152622073958,98.77073546056057,1.0,1146044.0174327944,1128766.7804536053,1.0153062946911373,238.74635044597775,235.14711934156378
162,48.6,11413.17,238.83247601961347,-23581.152622073958,98.77073546056057,1.0,1146044.0174327944,1127287.194836406,1.0166389032735446,238.74635044597775,234.83888888888887
163,48.65,11429.67,238.83445593747732,-23581.152622073958,98.77073546056057,1.0,1147223.075063898,1128916.9119715053,1.016215686821826,238.74635044597775,234.936690647482
164,48.7,11462.44,238.8341344935221,-23581.152622073958,98.77073546056057,1.0,1148402.1326950018,1132153.628972548,1.0143518541182432,238.74635044597775,235.36837782340862
165,48.35,11400.96,238.8315427679994,-23581.152622073958,98.77073546056057,1.0,1140148.729277276,1126081.2041564325,1.0124924606404222,238.74635044597775,235.800620475698
166,48.3,11399.32,238.82890553939657,-23581.152622073958,98.77073546056057,1.0,1138969.6716461722,1125919.2201502773,1.0115909305590796,238.74635044597775,236.01076604554865
167,48.05,11385.6,238.82398164135688,-23581.152622073958,98.77073546056057,1.0,1133074.3834906537,1124564.0856597584,1.007567641488304,238.74635044597775,236.95317377731533
168,48.05,11387.91,238.81870236650394,-23581.152622073958,98.77073546056057,1.0,1133074.3834906537,1124792.2460586724,1.0073632597139626,238.74635044597775,237.0012486992716
169,48.15,11389.01,238.81577391655014,-23581.152622073958,98.77073546056057,1.0,1135432.498752861,1124900.893867679,1.0093622513259564,238.74635044597775,236.5318795430945
170,48.05,11376.9,238.8125331612583,-23581.152622073958,98.77073546056057,1.0,1133074.3834906537,1123704.7802612516,1.0083381359534875,238.74635044597775,236.77211238293444
171,48.0,11372.4,238.80925073773838,-23581.152622073958,98.77073546056057,1.0,1131895.32585955,1123260.311951679,1.0076874557179605,238.74635044597775,236.92499999999998
172,48.2,11380.21,238.80786381521614,-23581.152622073958,98.77073546056057,1.0,1136611.5563839648,1124031.711395626,1.0111917171560216,238.74635044597775,236.10394190871367
173,48.0,11374.11,238.80479657233454,-23581.152622073958,98.77073546056057,1.0,1131895.32585955,1123429.2099093166,1.0075359585415415,238.74635044597775,236.96062500000002
174,48.0,11375.21,238.80049426581343,-23581.152622073958,98.77073546056057,1.0,1131895.32585955,1123537.8577183231,1.0074385282915157,238.74635044597775,236.98354166666664
175,48.0,11379.71,238.79620175566097,-23581.152622073958,98.77073546056057,1.0,1131895.32585955,1123982.3260278956,1.007040146137901,238.74635044597775,237.07729166666664
176,47.8,11336.81,238.7910921212448,-23581.152622073958,98.77073546056057,1.0,1127179.0953351352,1119745.0614766376,1.0066390414338549,238.74635044597775,237.17175732217572
177,47.8,11317.24,238.78660905647436,-23581.152622073958,98.77073546056057,1.0,1127179.0953351352,1117812.1181836745,1.0083797419969656,238.74635044597775,236.76234309623433
178,47.7,11307.96,238.78116743562504,-23581.152622073958,98.77073546056057,1.0,1124820.980072928,1116895.5257586006,1.007095967466558,238.74635044597775,237.06415094339619
179,47.7,11294.32,238.77660732127777,-23581.152622073958,98.77073546056057,1.0,1124820.980072928,1115548.2929269185,1.0083122238676734,238.74635044597775,236.77819706498948
180,47.8,11330.21,238.77252184184724,-23581.152622073958,98.77073546056057,1.0,1127179.0953351352,1119093.1746225979,1.0072254222399883,238.74635044597775,237.0336820083682
181,47.65,11270.49,238.7694890409176,-23581.152622073958,98.77073546056057,1.0,1123641.922441824,1113194.5863008932,1.0093850044453119,238.74635044597775,236.52654774396643
182,47.7,11269.64,238.7673654830427,-23581.152622073958,98.77073546056057,1.0,1124820.980072928,1113110.6311757518,1.0105203818642956,238.74635044597775,236.26079664570227
183,47.7,11278.09,238.76438069357735,-23581.152622073958,98.77073546056057,1.0,1124820.980072928,1113945.2438903935,1.00976325922857,238.74635044597775,236.43794549266246
184,47.65,11261.76,238.76131987362214,-23581.152622073958,98.77073546056057,1.0,1123641.922441824,1112332.3177803226,1.0101674692721956,238.74635044597775,236.34333683105982
185,47.6,11265.98,238.75672546084988,-23581.152622073958,98.77073546056057,1.0,1122462.8648107203,1112749.1302839662,1.0087294919064778,238.74635044597775,236.6802521008403
186,47.55,11251.54,238.75304591665378,-23581.152622073958,98.77073546056057,1.0,1121283.8071796165,1111322.880863916,1.0089631253771696,238.74635044597775,236.62544689800214
187,47.5,11244.89,238.74834439761364,-23581.152622073958,98.77073546056057,1.0,1120104.749548513,1110666.055473103,1.008498228633979,238.74635044597775,236.73452631578945
188,47.55,11239.1,238.7465106659094,-23581.152622073958,98.77073546056057,1.0,1121283.8071796165,1110094.1729147863,1.0100798964068514,238.74635044597775,236.36382754994744
189,47.55,11254.45,238.74419899419948,-23581.152622073958,98.77073546056057,1.0,1121283.8071796165,1111610.303704106,1.0087022434420376,238.74635044597775,236.68664563617247
190,47.6,11248.92,238.7428797280336,-23581.152622073958,98.77073546056057,1.0,1122462.8648107203,1111064.101537009,1.01025932100402,238.74635044597775,236.3218487394958
191,47.55,11243.36,238.7401142327167,-23581.152622073958,98.77073546056057,1.0,1121283.8071796165,1110514.9362478484,1.0096971869357771,238.74635044597775,236.45341745531022
192,47.55,11225.68,238.73622841246544,-23581.152622073958,98.77073546056057,1.0,1121283.8071796165,1108768.6696449057,1.011287419889596,238.74635044597775,236.0815983175605
193,47.55,11240.74,238.73153535040151,-23581.152622073958,98.77073546056057,1.0,1121283.8071796165,1110256.1569209415,1.0099325279035225,238.74635044597775,236.3983175604627
194,47.6,11243.07,238.7269582644952,-23581.152622073958,98.77073546056057,1.0,1122462.8648107203,1110486.2927345647,1.0107849796566721,238.74635044597775,236.19894957983192
195,47.6,11265.14,238.72065937944654,-23581.152622073958,98.77073546056057,1.0,1122462.8648107203,1112666.1628661794,1.0088047091495127,238.74635044597775,236.6626050420168
196,47.65,11257.59,238.71531132900864,-23581.152622073958,98.77073546056057,1.0,1123641.922441824,1111920.443813452,1.0105416522320356,238.74635044597775,236.25582371458552
197,47.75,11239.21,238.7144780822034,-23581.152622073958,98.77073546056057,1.0,1126000.0377040314,1110105.0376956868,1.0143184648916996,238.74635044597775,235.37612565445025
198,47.75,11247.46,238.71258996277265,-23581.152622073958,98.77073546056057,1.0,1126000.0377040314,1110919.8962632366,1.0135744633717692,238.74635044597775,235.54890052356018
199,47.6,11236.05,238.70993839686076,-23581.152622073958,98.77073546056057,1.0,1122462.8648107203,1109792.9221716316,1.011416492559978,238.74635044597775,236.05147058823528
200,47.6,11233.38,238.70727979905163,-23581.152622073958,98.77073546056057,1.0,1122462.8648107203,1109529.204307952,1.0116568905555177,238.74635044597775,235.99537815126047
201,47.7,11229.99,238.70727799367893,-23581.152622073958,98.77073546056057,1.0,1124820.980072928,1109194.3715147406,1.0140882508598084,238.74635044597775,235.42955974842766
202,47.65,11239.26,238.7058739332811,-23581.152622073958,98.77073546056057,1.0,1123641.922441824,1110109.97623246,1.0121897348002307,238.74635044597775,235.87114375655824
203,47.65,11233.49,238.7041926573341,-23581.152622073958,98.77073546056057,1.0,1123641.922441824,1109540.0690888525,1.0127096386564498,238.74635044597775,235.75005246589717
204,47.6,11227.56,238.70413579472932,-23581.152622073958,98.77073546056057,1.0,1122462.8648107203,1108954.3586275715,1.0121813004097542,238.74635044597775,235.87310924369746
205,47.5,11207.7,238.70415991524004,-23581.152622073958,98.77073546056057,1.0,1120104.749548513,1106992.7718213247,1.0118446823330338,238.74635044597775,235.95157894736843
206,47.6,11221.07,238.70452142990956,-23581.152622073958,98.77073546056057,1.0,1122462.8648107203,1108313.3365544323,1.0127667219996437,238.74635044597775,235.73676470588234
207,47.55,11212.02,238.70636864063357,-23581.152622073958,98.77073546056057,1.0,1121283.8071796165,1107419.4613985145,1.012519507074215,238.74635044597775,235.79432176656152
208,47.55,11211.57,238.70668396269272,-23581.152622073958,98.77073546056057,1.0,1121283.8071796165,1107375.014567557,1.0125601466793894,238.74635044597775,235.78485804416405
209,47.7,11227.02,238.70852465185024,-23581.152622073958,98.77073546056057,1.0,1124820.980072928,1108901.0224304227,1.0143565181386638,238.74635044597775,235.36729559748426
210,47.65,11217.4,238.70858231873328,-23581.152622073958,98.77073546056057,1.0,1123641.922441824,1107950.847955292,1.0141622478248828,238.74635044597775,235.41238195173136
211,47.8,11223.07,238.7113611041723,-23581.152622073958,98.77073546056057,1.0,1127179.0953351352,1108510.8780253534,1.0168408065990624,238.74635044597775,234.79225941422595
212,47.7,11208.09,238.71264531935242,-23581.152622073958,98.77073546056057,1.0,1124820.980072928,1107031.2924081543,1.0160697243038859,238.74635044597775,234.9704402515723
213,47.05,11052.45,238.7140811251465,-23581.152622073958,98.77073546056057,1.0,1109493.2308685796,1091658.6151410728,1.016337173068709,238.74635044597775,234.90860786397454
214,47.05,11058.95,238.7133722492216,-23581.152622073958,98.77073546056057,1.0,1109493.2308685796,1092300.6249215663,1.01573981150862,238.74635044597775,235.0467587672689
215,47.0,11054.86,238.71340425712418,-23581.152622073958,98.77073546056057,1.0,1108314.173237476,1091896.6526135327,1.0150357825391687,238.74635044597775,235.20978723404258
216,46.95,11055.49,238.71220481919576,-23581.152622073958,98.77073546056057,1.0,1107135.1156063725,1091958.8781768729,1.0138981766921826,238.74635044597775,235.47369542066025
217,46.85,11055.8,238.70935257104273,-23581.152622073958,98.77073546056057,1.0,1104777.000344165,1091989.4971048655,1.011710280431453,238.74635044597775,235.98292422625397
218,47.0,11070.78,238.70942334923043,-23581.152622073958,98.77073546056057,1.0,1108314.173237476,1093469.0827220648,1.0135761410633175,238.74635044597775,235.5485106382979
219,47.15,11089.64,238.71114626379162,-23581.152622073958,98.77073546056057,1.0,1111851.3461307872,1095331.8987928508,1.015081681959726,238.74635044597775,235.19915164369036
220,47.15,11093.59,238.71265409150465,-23581.152622073958,98.77073546056057,1.0,1111851.3461307872,1095722.04319792,1.0147202504804895,238.74635044597775,235.2829268292683
221,47.3,11101.1,238.7154992028461,-23581.152622073958,98.77073546056057,1.0,1115388.519024098,1096463.811421229,1.017259764896699,238.74635044597775,234.69556025369982
222,47.4,11112.51,238.72029260612143,-23581.152622073958,98.77073546056057,1.0,1117746.6342863056,1097590.785512834,1.0183637190103176,238.74635044597775,234.44113924050635
223,47.35,11107.48,238.72437742080157,-23581.152622073958,98.77073546056057,1.0,1116567.5766552018,1097093.9687134672,1.0177501731821301,238.74635044597775,234.58247096092924
224,47.2,11091.43,238.7263272000413,-23581.152622073958,98.77073546056057,1.0,1113030.403761891,1095508.6984093254,1.0159941270918313,238.74635044597775,234.98792372881354
225,47.15,11056.08,238.7305120952972,-23581.152622073958,98.77073546056057,1.0,1111851.3461307872,1092017.1529107946,1.0181628953053752,238.74635044597775,234.48738069989395
226,47.15,11082.24,238.7329559000961,-23581.152622073958,98.77073546056057,1.0,1111851.3461307872,1094600.9953504428,1.0157594875700087,238.74635044597775,235.0422057264051
227,47.2,11053.95,238.73858623162144,-23581.152622073958,98.77073546056057,1.0,1113030.403761891,1091806.7712442635,1.0194390006332716,238.74635044597775,234.1938559322034
