账户, 代码, 类型, 数量, 成本, 均价, 市价, 市场价值, 已实现盈亏, 未实现盈亏
U8762571,"""1088""",STK,"-10,000.00","-169,962.63",16.996263,16.878895,"-168,788.95",0.00,"1,173.68"
U8762571,"""601318""",STK,"3,000.00","238,825.28",79.608428,64.165001,"192,495.00",0.00,"-46,330.28"
U8762571,"""USD.CNH""",CASH,"180,000.00","1,186,811.20",6.593396,6.476425,"1,165,756.53",0.00,"-21,054.67"
U8762571,"""000157""",STK,"14,500.00","151,481.01",10.446967,9.045015,"131,152.72",0.00,"-20,328.29"
U8762571,"""603259""",STK,"2,080.00","291,773.33",140.275640,145.696686,"303,049.11",-0.00,"11,275.78"
U8762571,"""YALA""",STK,270.00,"2,025.00",7.500000,17.980000,"4,854.60",0.00,"2,829.60"
U8762571,"""2359""",STK,"-2,380.00","-389,791.49",163.777937,167.500000,"-398,650.00",0.00,"-8,858.51"
U8762571,"""9626""",STK,500.00,"404,000.00",808.000000,908.908691,"454,454.35",0.00,"50,454.35"
U8762571,"""1157""",STK,"-20,800.00","-187,062.21",8.993375,7.976337,"-165,907.81",0.00,"21,154.40"
U8762571,"""TUYA""",STK,351.00,"7,371.00",21.000000,20.990000,"7,367.49",0.00,-3.51
U8762571,"""9888""",STK,550.00,"138,600.00",252.000000,181.000000,"99,550.00",0.00,"-39,050.00"
U8762571,"""601088""",STK,"7,000.00","137,773.81",19.681973,19.455000,"136,185.00",0.00,"-1,588.81"
U8762571,"""2333""",STK,"-20,000.00","-479,324.62",23.966231,24.600000,"-492,000.01",0.00,"-12,675.38"
U8762571,"""601633""",STK,"12,000.00","514,745.13",42.895428,44.225002,"530,700.03",-0.00,"15,954.89"
