序号,策略代码,参数名称,参数值,目标仓位,说明,策略名称
1,1,SellEntry3,10,0,t,0
2,1,SellEntry2,10,0,t,0
3,1,SellEntry1,10,0,t,0
4,1,SellExit1,0.5,0,t,0
5,1,SellExit2,0.5,0,t,0
6,1,SellExit3,0.5,0,t,0
7,1,BuyExit3,#REF!,0,t,0
8,1,BuyExit2,#REF!,0,t,0
9,1,BuyExit1,#REF!,0,t,0
10,1,BuyEntry1,#REF!,1,t,0
11,1,BuyEntry2,#REF!,1,t,0
12,1,BuyEntry3,#REF!,1,t,0
13,2,SellEntry3,10,0,t,0
14,2,SellEntry2,10,0,t,0
15,2,SellEntry1,10,0,t,0
16,2,SellExit1,0.5,0,t,0
17,2,SellExit2,0.5,0,t,0
18,2,SellExit3,0.5,0,t,0
19,2,BuyExit3,#REF!,0,t,0
20,2,BuyExit2,#REF!,0,t,0
21,2,BuyExit1,#REF!,0,t,0
22,2,BuyEntry1,#REF!,1,t,0
23,2,BuyEntry2,#REF!,1,t,0
24,2,BuyEntry3,#REF!,1,t,0
25,3,SellEntry3,10,0,t,0
26,3,SellEntry2,10,0,t,0
27,3,SellEntry1,10,0,t,0
28,3,SellExit1,0.5,0,t,0
29,3,SellExit2,0.5,0,t,0
30,3,SellExit3,0.5,0,t,测试
31,3,BuyExit3,1.266010834,0,t,0
32,3,BuyExit2,1.266010834,0,t,0
33,3,BuyExit1,1.266010834,0,t,0
34,3,BuyEntry1,1.232289664,1,t,0
35,3,BuyEntry2,1.227258508,2,t,0
36,3,BuyEntry3,1.219711773,3,t,0
37,4,SellEntry3,10,0,t,0
38,4,SellEntry2,10,0,t,0
39,4,SellEntry1,10,0,t,0
40,4,SellExit1,0.5,0,t,0
41,4,SellExit2,0.5,0,t,0
42,4,SellExit3,0.5,0,t,0
43,4,BuyExit3,1.0654979,0,t,0
44,4,BuyExit2,1.0654979,0,t,0
45,4,BuyExit1,1.0654979,0,t,0
46,4,BuyEntry1,1.03050244,1,t,0
47,4,BuyEntry2,1.03050244,2,t,0
48,4,BuyEntry3,1.03050244,3,t,0
49,5,SellEntry3,10,0,t,0
50,5,SellEntry2,10,0,t,0
51,5,SellEntry1,10,0,t,0
52,5,SellExit1,0.5,0,t,0
53,5,SellExit2,0.5,0,t,0
54,5,SellExit3,0.5,0,t,0
55,5,BuyExit3,1.409910138,0,t,0
56,5,BuyExit2,1.409910138,0,t,0
57,5,BuyExit1,1.409910138,0,t,0
58,5,BuyEntry1,1.390363857,1,t,0
59,5,BuyEntry2,1.389197421,1,t,0
60,5,BuyEntry3,1.387447766,1,t,0
61,6,SellEntry3,10,0,t,0
62,6,SellEntry2,10,0,t,0
63,6,SellEntry1,10,0,t,0
64,6,SellExit1,0.5,0,t,0
65,6,SellExit2,0.5,0,t,0
66,6,SellExit3,0.5,0,t,0
67,6,BuyExit3,1.187816548,0,t,0
68,6,BuyExit2,1.187816548,0,t,0
69,6,BuyExit1,1.187816548,0,t,0
70,6,BuyEntry1,1.160381434,1,t,0
71,6,BuyEntry2,1.153576271,2,t,0
72,6,BuyEntry3,1.143368525,2,t,0
73,7,SellEntry3,10,0,t,0
74,7,SellEntry2,10,0,t,0
75,7,SellEntry1,10,0,t,0
76,7,SellExit1,0.5,0,t,0
77,7,SellExit2,0.5,0,t,0
78,7,SellExit3,0.5,0,t,0
79,7,BuyExit3,1.431504146,0,t,0
80,7,BuyExit2,1.431504146,0,t,0
81,7,BuyExit1,1.431504146,0,t,0
82,7,BuyEntry1,1.406358331,1,t,0
83,7,BuyEntry2,1.403243534,1,t,0
84,7,BuyEntry3,1.398571339,2,t,0
85,8,SellEntry3,10,0,t,0
86,8,SellEntry2,10,0,t,0
87,8,SellEntry1,10,0,t,0
88,8,SellExit1,0.5,0,t,0
89,8,SellExit2,0.5,0,t,0
90,8,SellExit3,0.5,0,t,0
91,8,BuyExit3,1.781864715,0,t,0
92,8,BuyExit2,1.781864715,0,t,0
93,8,BuyExit1,1.781864715,0,t,0
94,8,BuyEntry1,1.747641576,1,t,0
95,8,BuyEntry2,1.733633691,1,t,0
96,8,BuyEntry3,1.712621863,1,t,0
97,9,SellEntry3,10,0,t,0
98,9,SellEntry2,10,0,t,0
99,9,SellEntry1,10,0,t,0
100,9,SellExit1,0.5,0,t,0
101,9,SellExit2,0.5,0,t,0
102,9,SellExit3,0.5,0,t,0
103,9,BuyExit3,2.346663467,0,t,0
104,9,BuyExit2,2.346663467,0,t,0
105,9,BuyExit1,2.346663467,0,t,0
106,9,BuyEntry1,2.316059138,1,t,0
107,9,BuyEntry2,2.308140706,1,t,0
108,9,BuyEntry3,2.296263058,1,t,0
109,10,SellEntry3,10,0,t,0
110,10,SellEntry2,10,0,t,0
111,10,SellEntry1,10,0,t,0
112,10,SellExit1,0.5,0,t,0
113,10,SellExit2,0.5,0,t,0
114,10,SellExit3,0.5,0,t,0
115,10,BuyExit3,1.422998087,0,t,0
116,10,BuyExit2,1.422998087,0,t,0
117,10,BuyExit1,1.422998087,0,t,0
118,10,BuyEntry1,1.394073668,1,t,0
119,10,BuyEntry2,1.390659942,2,t,0
120,10,BuyEntry3,1.385539353,3,t,0
121,11,SellEntry3,10,0,t,0
122,11,SellEntry2,10,0,t,0
123,11,SellEntry1,10,0,t,0
124,11,SellExit1,0.5,0,t,0
125,11,SellExit2,0.5,0,t,0
126,11,SellExit3,0.5,0,t,0
127,11,BuyExit3,1.358017149,0,t,0
128,11,BuyExit2,1.358017149,0,t,0
129,11,BuyExit1,1.358017149,0,t,测试
130,11,BuyEntry1,1.328399203,1,t,0
131,11,BuyEntry2,1.325263069,1,t,0
132,11,BuyEntry3,1.320558869,1,t,0
133,12,SellEntry3,10,0,t,0
134,12,SellEntry2,10,0,t,0
135,12,SellEntry1,10,0,t,0
136,12,SellExit1,0.5,0,t,0
137,12,SellExit2,0.5,0,t,0
138,12,SellExit3,0.5,0,t,0
139,12,BuyExit3,1.640709293,0,t,0
140,12,BuyExit2,1.640709293,0,t,0
141,12,BuyExit1,1.640709293,0,t,0
142,12,BuyEntry1,1.615828108,1,t,0
143,12,BuyEntry2,1.613114498,2,t,0
144,12,BuyEntry3,1.609044083,2,t,0
145,13,SellEntry3,10,0,t,0
146,13,SellEntry2,10,0,t,0
147,13,SellEntry1,10,0,t,0
148,13,SellExit1,0.5,0,t,0
149,13,SellExit2,0.5,0,t,0
150,13,SellExit3,0.5,0,t,0
151,13,BuyExit3,1.722296273,0,t,0
152,13,BuyExit2,1.722296273,0,t,0
153,13,BuyExit1,1.722296273,0,t,0
154,13,BuyEntry1,1.424385141,1,t,0
155,13,BuyEntry2,1.360244218,2,t,0
156,13,BuyEntry3,1.264032833,2,t,0
157,14,SellEntry3,10,0,t,0
158,14,SellEntry2,10,0,t,0
159,14,SellEntry1,10,0,t,0
160,14,SellExit1,0.5,0,t,0
161,14,SellExit2,0.5,0,t,0
162,14,SellExit3,0.5,0,t,0
163,14,BuyExit3,2.204340356,0,t,0
164,14,BuyExit2,2.204340356,0,t,0
165,14,BuyExit1,2.204340356,0,t,测试
166,14,BuyEntry1,2.138955571,1,t,测试
167,14,BuyEntry2,2.129111003,1,t,测试
168,14,BuyEntry3,2.114344151,2,t,测试
169,15,SellEntry3,10,0,t,0
170,15,SellEntry2,10,0,t,0
171,15,SellEntry1,10,0,t,0
172,15,SellExit1,0.5,0,t,0
173,15,SellExit2,0.5,0,t,0
174,15,SellExit3,0.5,0,t,0
175,15,BuyExit3,1.709497865,0,t,0
176,15,BuyExit2,1.709497865,0,t,0
177,15,BuyExit1,1.709497865,0,t,0
178,15,BuyEntry1,1.635303577,1,t,0
179,15,BuyEntry2,1.624231278,2,t,0
180,15,BuyEntry3,1.60762283,2,t,0
181,16,SellEntry3,10,0,t,0
182,16,SellEntry2,10,0,t,0
183,16,SellEntry1,10,0,t,0
184,16,SellExit1,0.5,0,t,0
185,16,SellExit2,0.5,0,t,0
186,16,SellExit3,0.5,0,t,0
187,16,BuyExit3,1.533187931,0,t,0
188,16,BuyExit2,1.533187931,0,t,0
189,16,BuyExit1,1.533187931,0,t,0
190,16,BuyEntry1,1.496434001,1,t,0
191,16,BuyEntry2,1.491601299,1,t,0
192,16,BuyEntry3,1.484352247,2,t,0
193,17,SellEntry3,10,-1,t
194,17,SellEntry2,10,-1,t
195,17,SellEntry1,1.045,-1,t
196,17,SellExit1,0.5,0,t,0
197,17,SellExit2,0.5,0,t,0
198,17,SellExit3,0.5,0,t,0
199,17,BuyExit3,1.047980202,0,t,0
200,17,BuyExit2,1.047980202,0,t,0
201,17,BuyExit1,1.047980202,0,t,0
202,17,BuyEntry1,1.029852713,1,t,0
203,17,BuyEntry2,1.027606061,1,t,0
204,17,BuyEntry3,1.024236084,1,t,0
205,18,SellEntry3,10,0,t,0
206,18,SellEntry2,10,0,t,0
207,18,SellEntry1,10,0,t,0
208,18,SellExit1,0.5,0,t,0
209,18,SellExit2,0.5,0,t,0
210,18,SellExit3,0.5,0,t,0
211,18,BuyExit3,1.171603636,0,t,0
212,18,BuyExit2,1.171603636,0,t,0
213,18,BuyExit1,1.171603636,0,t,0
214,18,BuyEntry1,1.151155045,2,t
215,18,BuyEntry2,1.148922012,2,t,0
216,18,BuyEntry3,1.145572463,3,t,0
217,19,SellEntry3,10,0,t,0
218,19,SellEntry2,10,0,t,0
219,19,SellEntry1,10,0,t,0
220,19,SellExit1,0.5,0,t,0
221,19,SellExit2,0.5,0,t,0
222,19,SellExit3,0.5,0,t,0
223,19,BuyExit3,1.247605827,0,t,0
224,19,BuyExit2,1.247605827,0,t,0
225,19,BuyExit1,1.247605827,0,t,0
226,19,BuyEntry1,1.188110338,1,t,0
227,19,BuyEntry2,1.17803822,2,t,0
228,19,BuyEntry3,1.162930043,3,t,0
229,20,SellEntry3,10,0,t,0
230,20,SellEntry2,10,0,t,0
231,20,SellEntry1,10,0,t,0
232,20,SellExit1,0.5,0,t,0
233,20,SellExit2,0.5,0,t,0
234,20,SellExit3,0.5,0,t,0
235,20,BuyExit3,1.337922787,0,t,0
236,20,BuyExit2,1.337922787,0,t,0
237,20,BuyExit1,1.337922787,0,t,0
238,20,BuyEntry1,1.301343334,1,t,0
239,20,BuyEntry2,1.296094403,2,t,0
240,20,BuyEntry3,1.288221008,3,t,0
241,21,SellEntry3,10,0,t,0
242,21,SellEntry2,10,0,t,0
243,21,SellEntry1,10,0,t,0
244,21,SellExit1,0.5,0,t,0
245,21,SellExit2,0.5,0,t,0
246,21,SellExit3,0.5,0,t,0
247,21,BuyExit3,2.169688383,0,t,0
248,21,BuyExit2,2.169688383,0,t,0
249,21,BuyExit1,2.169688383,0,t,0
250,21,BuyEntry1,2.14483145,1,t,0
251,21,BuyEntry2,2.140377592,2,t,0
252,21,BuyEntry3,2.133696806,3,t,0
253,22,SellEntry3,10,0,t,0
254,22,SellEntry2,10,0,t,0
255,22,SellEntry1,10,0,t,0
256,22,SellExit1,0.5,0,t,0
257,22,SellExit2,0.5,0,t,0
258,22,SellExit3,0.5,0,t,0
259,22,BuyExit3,2.523993126,0,t,0
260,22,BuyExit2,2.523993126,0,t,0
261,22,BuyExit1,2.523993126,0,t,0
262,22,BuyEntry1,2.495328441,1,t,0
263,22,BuyEntry2,2.484211941,1,t,0
264,22,BuyEntry3,2.467537192,1,t,0
265,23,SellEntry3,10,0,t,0
266,23,SellEntry2,10,0,t,0
267,23,SellEntry1,10,0,t,0
268,23,SellExit1,0.5,0,t,0
269,23,SellExit2,0.5,0,t,0
270,23,SellExit3,0.5,0,t,0
271,23,BuyExit3,4.1036394,0,t,0
272,23,BuyExit2,4.1036394,0,t,0
273,23,BuyExit1,4.1036394,0,t,0
274,23,BuyEntry1,4.07977268,1,t,0
275,23,BuyEntry2,4.074003926,1,t,0
276,23,BuyEntry3,4.065350795,1,t,0
277,24,SellEntry3,10,0,t,0
278,24,SellEntry2,10,0,t,0
279,24,SellEntry1,10,0,t,0
280,24,SellExit1,0.5,0,t,0
281,24,SellExit2,0.5,0,t,0
282,24,SellExit3,0.5,0,t,0
283,24,BuyExit3,2.749832364,0,t,0
284,24,BuyExit2,2.749832364,0,t,0
285,24,BuyExit1,2.749832364,0,t,0
286,24,BuyEntry1,2.717879183,1,t,0
287,24,BuyEntry2,2.701026422,2,t,0
288,24,BuyEntry3,2.67574728,3,t,0
289,25,SellEntry3,10,0,t,0
290,25,SellEntry2,10,0,t,0
291,25,SellEntry1,10,0,t,0
292,25,SellExit1,0.5,0,t,0
293,25,SellExit2,0.5,0,t,0
294,25,SellExit3,0.5,0,t,0
295,25,BuyExit3,1.298347884,0,t,0
296,25,BuyExit2,1.298347884,0,t,0
297,25,BuyExit1,1.298347884,0,t,0
298,25,BuyEntry1,1.266865962,1,t,0
299,25,BuyEntry2,1.262763358,1,t,0
300,25,BuyEntry3,1.256609452,1,t,0
301,26,SellEntry3,10,0,t,0
302,26,SellEntry2,10,0,t,0
303,26,SellEntry1,10,0,t,0
304,26,SellExit1,0.5,0,t,0
305,26,SellExit2,0.5,0,t,0
306,26,SellExit3,0.5,0,t,0
307,26,BuyExit3,1.608637491,0,t,0
308,26,BuyExit2,1.608637491,0,t,0
309,26,BuyExit1,1.608637491,0,t,0
310,26,BuyEntry1,1.550622426,0,t,0
311,26,BuyEntry2,1.53772817,0,t,0
312,26,BuyEntry3,1.518386785,0,t,0
313,27,SellEntry3,10,0,t,0
314,27,SellEntry2,10,0,t,0
315,27,SellEntry1,10,0,t,0
316,27,SellExit1,0.5,0,t,0
317,27,SellExit2,0.5,0,t,0
318,27,SellExit3,0.5,0,t,0
319,27,BuyExit3,5.035005683,0,t,0
320,27,BuyExit2,5.035005683,0,t,0
321,27,BuyExit1,5.035005683,0,t,0
322,27,BuyEntry1,4.995546712,0,t,0
323,27,BuyEntry2,4.991104967,0,t,0
324,27,BuyEntry3,4.98444235,0,t,0
